매장이름,시도정보,시군구정보,매장주소
모항점,충청남도,태안군,충청남도 태안군 소원면 모항파도로 113 
원북점,충청남도,태안군,충청남도 태안군 원북면 원이로 841-4 
명지점,충청남도,서산시,충청남도 서산시 대산읍 물안1로 123 
두정2점,충청남도,천안시,충청남도 천안시 서북구 두정역서1길 4-12 다온빌리지 1층상가 
목천점,충청남도,천안시,충청남도 천안시 동남구 목천읍 교천지산길 16 
장재점,충청남도,아산시,충청남도 아산시 배방읍 연화로 36 연화마을8단지 상가2동 104호 
성거점,충청남도,천안시,충청남도 천안시 서북구 성거읍 송남리 585
초원점,충청남도,아산시,충청남도 아산시 음봉면 음봉로681번길 24 초원아파트109-101호 
신방점,충청남도,천안시,충청남도 천안시 동남구 수곡2길 5 
청수점,충청남도,천안시,충청남도 천안시 동남구 풍세로 932 
입장점,충청남도,천안시,충청남도 천안시 서북구 입장면 입장로 121 초원상가6-103호 
쌍용봉명점,충청남도,천안시,충청남도 천안시 서북구 봉서5길 18 
백석점,충청남도,천안시,"충청남도 천안시 서북구 백석4길 12, 103호"
쌍용월봉점,충청남도,천안시,충청남도 천안시 서북구 월봉4로 140-16 월봉태영아파트상가 107호 
쌍용능수점,충청남도,천안시,충청남도 천안시 서북구 쌍용16길 54-1 
북면중앙점,충청남도,천안시,충청남도 천안시 동남구 북면 상동리 86-14 중앙아파트 상가 16호 
성환점,충청남도,천안시,충청남도 천안시 서북구 성환읍 성환중앙로 47 
직산점,충청남도,천안시,충청남도 천안시 서북구 성거읍 봉주로 111 
차암공단점,충청남도,천안시,충청남도 천안시 서북구 직산읍 2공단5로 169 대림상가 105호 
두정1점,충청남도,천안시,충청남도 천안시 서북구 늘푸른5길 22 골드프라자 110호 
성정점,충청남도,천안시,충청남도 천안시 서북구 서부16길14
신부점,충청남도,천안시,충청남도 천안시 동남구 터미널2로 29 
남부점,충청남도,천안시,충청남도 천안시 동남구 풍세로 769-28
10단지점,충청남도,천안시,충청남도 천안시 서북구 봉서산샛길 64 상가102호 
효자점,전라북도,전주시,전북 전주시 완산구 성지산로 61-4 
조촌점,전라북도,군산시,전북 군산시 조촌로 68 (조촌동)
정읍수성점,전라북도,정읍시,전북 정읍시  중앙로95(수성동)
익산영등점,전라북도,익산시,전북 익산시 고봉로22길 31 (영등동)
수송점,전라북도,군산시,전북 군산시 월명로 305(수송동)
산북소룡점,전라북도,군산시,전북 군산시 칠성안1길 17(산북동 104호)
미장점,전라북도,군산시,전북 군산시 미장남로 36(미장동)
미룡군산대점,전라북도,군산시,전북 군산시 미제1길 6(미룡동)
만경점,전라북도,김제시,전북 김제시 만경읍 만경로 804
나운지곡점,전라북도,군산시,전북 군산시 신평길 33-2(지곡동)
나운1점,전라북도,군산시,전북 군산시 상나운로 86(나운동)
김제점,전라북도,김제시,전북 김제시 동서로 133(요촌동)
김제신풍점,전라북도,김제시,전북 김제시 검산택지5길 21-7(검산동)
회진점,전라남도,장흥군,전남 장흥군 회진면 회진중앙길 16-19
홍농점,전라남도,영광군,전남 영광군 홍농읍 홍농로 457-9
현산점,전라남도,해남군,전남 해남군 현산면 탑동리길 5(6)
해남화원점,전라남도,해남군,전남 해남군 화원면 금평리 236-3
해남점,전라남도,해남군,전남 해남군 해남읍 해남로 4
한라삼호점,전라남도,영암군,전남 영암군 삼호읍 신항로 80(2층)
하당점,전라남도,목포시,전남 목포시 하당로30번길 12(상동)
퀸스빌점,전라남도,영암군,전남 영암군 삼호읍 삼호중앙로 129 (퀸스빌2차아파트 상가 101동 102호)
창평점,전라남도,담양군,전남 담양군 창평면 의병로 137
진도점,전라남도,진도군,전남 진도군 진도읍 남동리 쌍정2길 30
진도녹진점,전라남도,진도군,전남 진도군 군내면 진도대로 8444
중동점,전라남도,광양시,전남 광양시 진등길 10(중동)
용해점,전라남도,목포시,전남 목포시 용당로 271-1(용해동)
오성점,전라남도,광양시,전남 광양시 광양읍 대림오성로 112
영광점,전라남도,영광군,전남 영광군 영광읍 중앙로2길 12-15
연향점,전라남도,순천시,"전남 순천시 연향 번영 6길 10, 1층(연향동)"
압해도,전라남도,신안군,전남 신안군 압해면 압해로 889
안좌도점,전라남도,신안군,"전남 신안군 안좌면 김환기길 1-2,1층"
신안인스빌점,전라남도,목포시,"전남 목포시 삼학로 363, 상가동 113호(용해동)"
순천대학점,전라남도,순천시,"전남 순천시 중앙로 270,1층(석현동)"
송지점,전라남도,해남군,전남 해남군 송지면 산정1길 92
선원무선점,전라남도,여수시,전남 여수시 무선중앙로 64(선원동)
서면용당점,전라남도,순천시,전남 순천시 서면 강청길 88(1층)
상동점,전라남도,목포시,전남 목포시 상리로1번길 16(상동)
산정점,전라남도,목포시,전남 목포시 고하대로 656(산정동)
법성점,전라남도,영광군,전남 영광군 법성면  연우로4(법성리)
미평점,전라남도,여수시,전남 여수시 미평로 52 1층(미평동)
문수점,전라남도,여수시,전남 여수시 문수로 72(문수동)
무안점,전라남도,무안군,"전남 무안군 무안읍 면성2길 55(3,4)"
동정점,전라남도,여수시,전남 여수시 하멜로 18(고소동)
돌산점,전라남도,여수시,전남 여수시 돌산읍 강남8길 30(돌산1차청솔아파트 상가동 102호)
도초비금점,전라남도,신안군,전남 신안군 도초면 불섬길 85-12
덕양점,전라남도,여수시,전남 여수시 소라면 주삼덕양로 3
대불점,전라남도,영암군,전남 영암군 삼호읍 대불주거1로5길 17
담양대치점,전라남도,담양군,전남 담양군 대전면 추성1로 162
남창점,전라남도,해남군,전남 해남군 북평면 볼무당길 5
남악점,전라남도,무안군,"전남 무안군 삼향읍 남악5로46번길 22, 111호(황금먹거리장터)"
국동점,전라남도,여수시,전남 여수시 국동 994-3
광영점,전라남도,광양시,전남 광양시 광영로 97(광영동)
광양점,전라남도,광양시,전남 광양시 광양읍 호북길22
곡성점,전라남도,곡성군,전남 곡성군 곡성읍 중앙로 141
거문도점,전라남도,여수시,전남 여수시 삼산면 삼호교길 8(제1호)
강진점,전라남도,강진군,전남 강진군 강진읍 영랑로3길 10
매곡월드점,울산광역시,북구,"울산광역시 북구 매산로 35, 101호(매곡동, 매곡동월드프라자)"
천곡점,울산광역시,북구,"울산광역시 북구 관문길 6-1, 지상1층(천곡동)"
쌍용아진점,울산광역시,북구,"울산광역시 북구 신답로40, 102(상안동,지팝프라자)"
호계점,울산광역시,북구,울산 북구 호계동 255-8
화봉점,울산광역시,북구,울산광역시 북구 두부곡 7길 1
서동점(울산),울산광역시,중구,"울산 중구 병영성 3길 9(서동,1층)"
반구점,울산광역시,중구,울산 중구 화합로 395(반구동)
학성점,울산광역시,중구,울산 중구 학성동 189-1
중구점,울산광역시,중구,"울산광역시 중구 동헌길 79, 1층(교동)"
태화점,울산광역시,중구,울산 중구 신기2길 4(태화동)
다운점,울산광역시,중구,울산광역시 중구 운곡8길 48(다운동)
구영현대점,울산광역시,울주군,"울산광역시 울주군 범서읍 점촌4길 37,2호(현대1차상가)"
천상점,울산광역시,울주군,울산 울주군 범서읍 천상2길 15
무거점,울산광역시,남구,"울산광역시 남구 신복로 13, 1층(무거동)"
옥동점,울산광역시,남구,울산광역시 남구 문수로 369번길 10-1(옥동)
명촌점,울산광역시,북구,"울산광역시 북구 명촌로 81, 1층(명촌동)"
양정점,울산광역시,북구,"울산광역시 북구 염포로 555(양정동,1층)"
성내점,울산광역시,북구,울산 북구 염포동 997-17
남목점,울산광역시,동구,울산 동구 미포2길 50(동부동)
전하1호점,울산광역시,동구,"울산광역시 동구 전하로 8, 1층(전하동"
일산점,울산광역시,동구,울산광역시 동구 방어진순환도로 709(일산동)
방어진점,울산광역시,동구,울산광역시 동구 동진2길 17(방어동)
삼산점,울산광역시,남구,울산 남구 삼산동 삼산중로 114번로 23
달동점,울산광역시,남구,울산 남구 삼산로 254번길 23
신정1호점,울산광역시,남구,울산광역시 남구 월평로 69(신정동)
봉월점,울산광역시,남구,울산광역시 남구 봉월로 8번길 17(신정동)
야음점,울산광역시,남구,울산 남구 야음동 459-52
야음변전소점,울산광역시,남구,울산광역시 남구 처용로 26번길 10(야음동)
덕하점,울산광역시,울주군,울산광역시 울주군 청량면 삼정로 769
덕신점,울산광역시,울주군,"울산광역시 울주군 온산읍 신온8길 18, 1층 102호"
남창점,울산광역시,울주군,"울산 울주군 온양읍 온양로 155,1층"
나사리점,울산광역시,울주군,울산광역시 울주군 서생면 나사해안길 61-1
훼미리점,울산광역시,울주군,울산 울주군 상북면 궁근정리 846-14 진우훼미리상가 102
언양점,울산광역시,울주군,울산 울주군 언양읍 남문길 14
중남점,울산광역시,울주군,울산 울주군 삼남면 신화리 1481-15
연동점,세종특별자치시,연동면,세종특별자치시 연동면 청연로 655
전동점,세종특별자치시,전동면,세종특별자치시 전동면 운주산로 346
두구점,부산광역시,금정구,부산광역시 금정구 두구로 47(두구동)
남산점,부산광역시,금정구,부산 금정구 남산동 27-50
부산외대점,부산광역시,금정구,부산광역시 금정구 남산로 2-1(남산동)
명륜점,부산광역시,동래구,"부산광역시 동래구 시실로 50-4, 1층(명륜동,광일빌딩)"
길천점,부산광역시,기장군,부산 기장군 장안읍 길천리 224-5
좌천점,부산광역시,기장군,부산 기장군 장안읍 좌천리 202-6
일광점,부산광역시,기장군,부산광역시 기장군 일광면 삼성리 33-1
기장점,부산광역시,기장군,부산광역시 기장군 기장읍 차성로 288번길 66
반송본점,부산광역시,해운대구,부산광역시 해운대구 반송동 62-344
서동점(부산),부산광역시,금정구,부산 금정구 서동 205-13
명장2호점,부산광역시,동래구,"부산광역시 동래구 반송로 339번길 8, 1동 101호(명장동,협진태양아파트상가)"
강동점,부산광역시,강서구,부산 강서구 강동동 112-4
공항점,부산광역시,강서구,부산광역시 강서구 공항로 811번길 65(대저2동)
덕포1호점,부산광역시,사상구,부산광역시 사상구 사상로 326(덕포동)
감전점,부산광역시,사상구,부산 사상구 새벽로 167번길 8(감전동)
스마트W개금점,부산광역시,부산진구,"부산광역시 부산진구 가야대로 411, 1층 105호(개금동,개금역스마트더블유)"
개금엘지점,부산광역시,부산진구,"부산광역시 부산진구 백양대로 309(개금동,(1층))"
개금주공점,부산광역시,부산진구,"부산광역시 부산진구 백양대로 136번길 37-9,1층(당감동,당평교회)"
금곡점,부산광역시,북구,"부산광역시 북구 금곡대로 470번길 35,105(금곡동,유림상가)"
화명점,부산광역시,북구,부산 북구 화명1동 1130-9
구포시장점,부산광역시,북구,부산광역시 북구 구포시장길 44(구포동)
구포3호점,부산광역시,북구,부산광역시 북구 시랑로 72-1(구포동)
덕천점,부산광역시,북구,부산 북구 덕천동 의성로 115번길 3
만덕점,부산광역시,북구,부산 북구 만덕2로 32(만덕동)
온천장본점,부산광역시,동래구,부산광역시 동래구 금강로 90(온천동)
장전점,부산광역시,금정구,부산광역시 금정구 금정로 149번길 8(장전동)
미남점,부산광역시,동래구,"부산광역시 동래구 여고북로 109 (온천동,1층)"
사직국민시장점,부산광역시,동래구,"부산광역시 동래구 사직북로 63번길 33-1,1층(사직동)"
사직운동장점,부산광역시,동래구,"부산광역시 동래구 여고로 7, 1층(사직동)"
거제점,부산광역시,연제구,부산 연제구 아시아드대로 46번길 7(거제동)
연산본점,부산광역시,연제구,부산광역시 연제구 쌍미천로 126(연산동)
망미배산점,부산광역시,연제구,부산 연제구 망미1동 831-26번지
전포점,부산광역시,부산진구,"부산 부산진구 전포동 전포대로294,2-101(전포동한신상가)"
범천점,부산광역시,진구,부산광역시 진구 범천1동 850-1
문현2호점,부산광역시,남구,부산광역시 남구 전포대로 77번길 9-2(문현동)
못골점,부산광역시,남구,부산 남구 대연동 1604-8
문현점,부산광역시,남구,부산 남구 문현동 351-6
감만점,부산광역시,남구,부산 남구 감만동 146-1
대연본점,부산광역시,남구,부산광역시 남구 석포로 79(대연동)
용호시장점,부산광역시,남구,"부산광역시 남구 용호로 190, 1층(용호동)"
용호점,부산광역시,남구,부산광역시 남구 동명로 121(용호동)
메트로시티점,부산광역시,남구,"부산광역시 남구 신선로 566, 401동 152호(용호동,GS하이츠자이)"
경성부경대점,부산광역시,남구,부산 남구 대연3동 555-7
대연1호점,부산광역시,남구,부산 남구 대연동 290-11
남천점,부산광역시,수영구,"부산광역시 수영구 남천동로9번길 4, 1층(남천동)"
광안점,부산광역시,수영구,부산 수영구 광안동  537-2 
수비점,부산광역시,해운대구,"부산광역시 해운대구 해운대로 383번 가길 19, 101호(우동, 삼진그린아파트상가)"
송정점,부산광역시,해운대구,부산 해운대구 송정동 200-19
신도시2호점,부산광역시,해운대구,부산 해운대구 좌동 1288 대동타운분산상가 203
우동1호점,부산광역시,해운대구,부산 해운대구 우동1로 58(우동)
수영점,부산광역시,수영구,부산광역시 수영구 수영로 725번길 14(수영동)
민락점,부산광역시,수영구,부산 수영구 민락동 110-8 롯데캐슬자이언트아파트상가 107-115
망미점,부산광역시,수영구,부산광역시 수영구 구락로 85-2
재송점,부산광역시,해운대구,부산광역시 해운대구 재송1로 54
장산점,부산광역시,해운대구,부산 해운대구 반여동 재반로 242번길 20
반여점,부산광역시,해운대구,부산광역시 해운대구 반여로 167번길 70(반여동)
안락점,부산광역시,동래구,부산광역시 동래구 충렬대로 428번길 50(안락동)
연산토곡점,부산광역시,연제구,부산광역시 연제구 과정로 269-1(연산동)
학장점,부산광역시,사상구,부산 사상구 학장동 574-111 삼성아파트상가 1-102
엄궁점,부산광역시,사상구,"부산광역시 사상구 엄궁북로 40, (엄궁동,롯데캐슬리버)"
명지오션점,부산광역시,강서구,부산 강서구 명지동 롯데캐슬상가 B동 102호
하단1호점,부산광역시,사하구,"부산광역시 사하구 하신번영로 360(하단동, 1층 우측)"
가락새신평점,부산광역시,사하구,부산 사하구 하신번영로 171(신평동) 31
장림점,부산광역시,사하구,부산 사하구 장림동 604-209
다대자유점,부산광역시,사하구,"부산광역시 사하구 다대로 617, 상가동 102호(다대동, 자유아파트)"
다대점,부산광역시,사하구,부산광역시 사하구 다대로 397(다대동)
신평점,부산광역시,사하구,부산 사하구 신평1동 33-168  24/1
당리점,부산광역시,사하구,부산 사하구 당리동 324-27
괴정1호점,부산광역시,사하구,부산 사하구 까치고개로 10(괴정동)
동해점,부산광역시,서구,부산 서구 남부민동 33-6 흥아맨션 307호 
감천점,부산광역시,사하구,"부산광역시 사하구 감천로 111, 1층(감천동)"
동삼점,부산광역시,영도구,부산광역시 영도구 동삼로 77(동삼동)
청학점,부산광역시,영도구,"부산광역시 영도구 청학로 32, 4층 2호(청학동)"
초량본점,부산광역시,동구,부산 동구 초량동 460-5 
수정1호점,부산광역시,동구,부산광역시 동구 수정로 18(수정동)
범천2호점,부산광역시,부산진구,"부산광역시 부산진구 가야대로 702, 101동 103호(범천동, 서면 e-편한세상상가)"
주례점,부산광역시,사상구,부산 사상구 가야대로 306번길 69(주례동)
가야점,부산광역시,부산진구,부산 부산진구 가야대로 589번길 3(가야동)
당감1호점,부산광역시,부산진구,부산광역시 부산진구 백양순환로 105(부암동)
부암점,부산광역시,부산진구,"부산광역시 부산진구 시민공원로 19번길 38-6(부암동,1층)"
하마정점,부산광역시,부산진구,부산 부산진구 양정동 447-9
한남대점,대전광역시,대덕구,대전 대덕구 한남로 28 
어은점,대전광역시,유성구,대전 유성구 어은로48번길 9-5 
법동점,대전광역시,대덕구,대전 대덕구 계족로663번길 23 
신탄로하스점,대전광역시,대덕구,대전 대덕구 대덕대로 1583 
신성점,대전광역시,유성구,대전 유성구 신성로62번길 38
원신흥점,대전광역시,유성구,대전 유성구 원신흥남로 58
비래가양점,대전광역시,대덕구,대전 대덕구 우암로 412
부사점,대전광역시,중구,대전 중구 대종로316번길 2
둔산녹원점,대전광역시,서구,대전 서구 계룡로491번길 28
둔산타임월드점,대전광역시,서구,대전 서구 갈마역로 10
전민점,대전광역시,유성구,대전 유성구 전민로38번길 33
도마점,대전광역시,서구,대전 서구 도솔로 137
관평점,대전광역시,유성구,대전 유성구 테크노1로 12-22
월평3점,대전광역시,서구,대전 서구 월평중로 50
성남점,대전광역시,동구,대전 동구 성남로 28
둔산1점,대전광역시,서구,대전 서구 둔산북로 175
중리점,대전광역시,대덕구,대전 대덕구 중리남로 48
송촌2점,대전광역시,대덕구,대전 대덕구 동춘당로54번길 40-6
갈마점,대전광역시,서구,대전 서구 갈마중로7번길 29
신인점,대전광역시,동구,대전 동구 계족로 87
신탄1점,대전광역시,대덕구,대전 대덕구 덕암로 222
용운점,대전광역시,동구,대전 동구 용운로147번길 123
보문점,대전광역시,중구,대전 중구 충무로 73
대전삼성점,대전광역시,동구,대전 동구 현암로 36
대화점,대전광역시,대덕구,대전 대덕구 동심1길 172
관저1점,대전광역시,서구,대전 서구 도안남로 148
한밭점,대전광역시,중구,대전 중구 보문산로 31
태평점,대전광역시,중구,대전 중구 수침로55번길 7
용두점,대전광역시,중구,대전광역시 중구 중앙로 13번길 63
목동점,대전광역시,중구,대전광역시 중구 목중로19번길 7
송촌1점,대전광역시,대덕구,대전광역시 대덕구 계족로690번길 21 선비마을1단지상가 104
노은1점,대전광역시,유성구,대전광역시 유성구 은구비로 18
장대점,대전광역시,유성구,대전광역시 유성구 문화원로14번길 9
월평1점,대전광역시,서구,대전광역시 서구 월평새뜸로8번길 50
괴정점,대전광역시,서구,대전광역시 서구 도산로369번길 91
산호점,대전광역시광역시,서구,대전광역시광역시 서구 계룡로571번길 65 상가 103호
둔산삼천점,대전광역시광역시,서구,대전광역시광역시 서구 둔산북로 215
하남점,광주광역시,광산구,광주광역시 광산구 월곡반월로 28(월곡동 1동)
풍암금호점,광주광역시,서구,"광주 서구 풍금로 39, 1층 101호(풍암동)"
주월점,광주광역시,남구,광주 남구 서문대로 749번길 15-1(주월동)
일곡점,광주광역시,북구,광주 북구 설죽로 585-1(일곡동)
운암동림점,광주광역시,북구,광주 북구 운암1동 930-8
용두.첨단2지구점,광주광역시,북구,광주광역시 북구 임방울대로1041번길 24(용두동 1층)
송하풍암점,광주광역시,남구,광주 남구 송하동 258-7
송정점,광주광역시,광산구,"광주광역시 광산구 송도로 319, 1층(송정동)"
문흥1점,광주광역시,북구,광주 북구 대천로 139번길 8-7(문흥동)
두암타운점,광주광역시,동구,광주 동구 산수동 밤실로 147 (두암타운상가 105호)
천마점,경상북도,경주시,경북 경주시 외동읍 구어리 171번지
모동점,경상북도,상주시,경북 상주시 모동면 용호1길 25
영주1호점,경상북도,영주시,경북 영주시 대학로 261번길 36(가흥동)
안계점,경상북도,의성군,경북 의성군 안계면 안계길 118
신안점,경상북도,안동시,경북 안동시 안막동 69-9
옥동점,경상북도,안동시,경북 안동시 옥동768-1 세영APT 상가동 104호
단촌점,경상북도,의성군,경북 의성군 단촌면 하화리 1123-3
금성점,경상북도,의성군,경북 의성군 금성면 대리 63-1
의성점,경상북도,의성군,경북 의성군 의성읍 후죽리185-5
의성역점,경상북도,의성군,경북 의성군 의성읍 후죽리 477-2
성동점,경상북도,상주시,경북 상주시 성동 193 - 3 번지
낙양점,경상북도,상주시,경북 상주시 낙양동 199-1
사벌점,경상북도,상주시,경북 상주시 사벌면 덕담리 444
청리점,경상북도,상주시,경북 상주시 청리면 원장리858-3
휴천점,경상북도,영주시,경북 영주시 영주로 330번길 56(휴천동)
진보점,경상북도,청송군,경북 청송군 진보면 진안79-2
점촌점,경상북도,문경시,경북 문경시 모전동 52-9
예천점,경상북도,예천군,경북 예천군 예천읍 효자로 65
법원점,경상북도,포항시,경상북도 포항시 북구 법원로 154 (양덕동)
평해점,경상북도,울진군,경북 울진군 평해읍 평해리 58 2층
황성점,경상북도,경주시,경북 경주시 용담로 116번길  61-5    103동  101호 신흥2차
시래점,경상북도,경주시,경북 경주시 구매3길 28(시래동)
안강점,경상북도,경주시,경북 경주시 안강읍 양월5리1199-14
보문점,경상북도,경주시,경북 경주시 신평동 150-9
황오점,경상북도,경주시,경북 경주시 황오동 원효로 174
천북점,경상북도,경주시,경북 경주시 천북면 오야리 한백길70-18
영덕점,경상북도,영덕군,경북 영덕군 영덕읍 남석1리  148
영천점,경상북도,영천시,경북 영천시 야사동 283-38
오천점,경상북도,포항시,경북 포항시 남구오천읍용덕리322-15
연일점,경상북도,포항시,경북 포항시 남구 연일읍 동문로21번길 45
동해점,경상북도,포항시,경북 포항시 남구동해면 약전1리291-1
효자점,경상북도,포항시,경북 포항시 남구 효자동 308-16
해도점,경상북도,포항시,경북 포항시 해도2동31-4
흥해점,경상북도,포항시,경북 포항시 북구 흥해읍 흥해로 21
환호점,경상북도,포항시,경북 포항시 북구환호동512-7
기계점,경상북도,포항시,경북 포항시 북구 기계면 현내리 404-5
감포점,경상북도,경주시,경북 경주시 감포읍 감포리 50-2
건천점,경상북도,경주시,경북 경주시 건천읍 단석로 1995-2번지
죽도점,경상북도,포항시,경북 포항시 북구 죽도로28번길 52(죽도동)
달전점,경상북도,포항시,경북 포항시 북구 흥해읍 달전로 365
북면점,경상북도,울진군,경북 울진군 북면 덕구온천로 28
청통점,경상북도,영천시,경북 영천시 청통로 116
용강점,경상북도,경주시,경북 경주시 승삼3길 18-1(용강동)
충효점,경상북도,경주시,경북 경주시 충효녹지길 128-9(충효동)
아화점,경상북도,경주시,경북 경주시 서면 내서로 406
신암점,대구광역시,동구,대구광역시 동구 신암4동612-53
성주점,경상북도,성주군,경북 성주군 성주읍 성산리 2098-2번지
선남점,경상북도,성주군,경북 성주군 선남면 관화리670-3
진량점,경상북도,경산시,경북 경산시 진량읍 신상리 205-1
사동점,경상북도,경산시,경북 경산시 원효로 36길 22
범물2호점,대구광역시,수성구,대구광역시 수성구 범물동1369-11
두산들안점,대구광역시,수성구,대구광역시 수성구 들안로20길 41
효신점,대구광역시,동구신천4동436-7,대구광역시 동구신천4동436-7
범어점,대구광역시,수성구,대구광역시 수성구 범어4동114-1
진천사랑점,대구광역시,달서구,대구광역시 달서구 월배로 32-1 진천우체국
화원점,대구광역시,달성군,대구광역시 달성군 화원읍 화원로 1길 12
상인점,대구광역시,달서구,"대구광역시 달서구 월배로40길 135 (상인동,1층)"
대명1호점,대구광역시,남구,대구광역시 남구 대명10동 1645-8
논공점,대구광역시,달성군,대구광역시 달성군 논공읍 북리 803-142
현풍점,대구광역시,달성군,대구광역시 달성군 현풍면 중리295-1
매곡점,대구광역시,달성군,대구광역시 달성군 다사읍 매곡리 1549-1
대평리점,대구광역시,서구,대구광역시 서구 평리3동1035-22
감삼점,대구광역시,달서구,대구광역시 달서구 감삼동205-12
중평점,대구광역시,서구,대구광역시 서구 국채보상로34길12.129-119
신천점,대구광역시,동구,대구광역시 동구 신천동633 동신우방상가108-108
방촌점,대구광역시,동구,대구광역시 동구 방촌동902-7 현대상가
시지1호점,대구광역시,수성구,대구광역시 수성구 노변공원로1길 6-5(시지동)
두류내당점,대구광역시,달서구,"대구광역시 달서구 야외음악당로 163, 1충(두류동)"
대명계대점,대구광역시,남구,대구광역시 남구 대명3동2262-47번지
명곡점,대구광역시,달성군,대구광역시 달성군 화원읍 상암로71201호2층
죽곡점,대구광역시,달성군,대구광역시 달성군 다사읍 대실역남로 4길 30-26
파동점,대구광역시,수성구,대구광역시 수성구 파동로 192
산격점,대구광역시,북구,대구광역시 북구 대동로 45(산격동)
동명점,경상북도,칠곡군,경북 칠곡군 동명면 금암중앙길 42
삼청공단점,경상북도,칠곡군,경북 칠곡군 왜관읍 삼청리410-32
왜관점,경상북도,칠곡군,경북 칠곡군 왜관읍왜관리774
석적중리점,경상북도,칠곡군,경북 칠곡군 석적읍 중리201-10
용산점,대구광역시,달서구,대구광역시 달서구 성지로18길 10-4. 1층(용산동)
서재점,대구광역시,달성군,대구광역시 달성군 다사읍 서재리 서재로 108
성서1호점,대구광역시,달서구,대구광역시 달서구 이곡동 752-19
고아점,경상북도,구미시,경북 구미시 고아읍 오로리 460-1에덴상가 203호
옥계점,경상북도,구미시,경북 구미시 구포동671-2
산동점,경상북도,구미시,경북 구미시 산동면 강동로 1028-6
진평점,경상북도,구미시,경북 구미시 진평동458
구미1호점,경상북도,구미시,경북 구미시 신평1동150-17
상모점,경상북도,구미시,경북 구미시 상사서로 92(상모동.마동1층)
원평점,경상북도,구미시,경북 구미시 남통동14-44
도량점,경상북도,구미시,경북 구미시 도량동245-2
원호점,경상북도,구미시,경북 구미시 고아읍 원호리 449번지
대곡점,경상북도,김천시,경북 김천시 부곡동 990-1
직지점,경상북도,김천시,경북 김천시 대항면복전리548-32
신음점,경상북도,김천시,경북 김천시 신음동1302-5
침산점,대구광역시,북구,대구광역시 북구 침산동456-7침산2지구아파트101-12
인의황상점,경상북도,구미시,경북 구미시 여헌로14길 10
덕곡율곡점,경상북도,김천시,"경북 김천시 아포대로 22, 외2필지(덕곡동)"
증산점,경상북도,김천시,경북 김천시 증산면 유성리 254-7
아포점,경상북도,김천시,경북 김천시 아포읍 국사리 1047번지102호
지좌점,경상북도,김천시,경북 김천시 황산2길 36 (지좌동)
팔달점,대구광역시,서구,대구광역시 서구 서대구로68길 58(비산동)
칠곡2지구점,대구광역시,북구,대구광역시 북구 구암동 684-5
태전점,대구광역시,북구,"대구광역시 북구 칠곡중앙대로53길32,상가동107호"
금호샛별점,대구광역시,북구,대구광역시 북구 한강로 6길3.1층(사수동)
회원1동점,경상남도,창원시,경남 창원시 마산회원구 회원동 29-15
